"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"JB02A","CRI-02A","Dactylido hispanicae-Helichrysion stoechadis Géhu et Biondi in Géhu 1994","Coastal dwarf scrub on salt-sprayed cliffs of the coasts of Southern France and the Cantabro-Atlantic region of the Iberian Peninsula"
"JB02B","CRI-02B","Astragalion tragacanthae (Folch ex Rivas-Mart., Fernández-González et Loidi 1999) Rivas-Mart. et al. 2002","Rupicolous pulvinate scrub on the wind-exposed coastal rocks of the coasts of Southern Spain and Portugal"
"JB02C","CRI-02C","Launaeion cervicornis (O. de Bolòs et Vigo ex Gil et Llorens 1995) Rivas-Mart. et al. 1999","Coastal pulvinate scrub on salt-sprayed cliffs of the Balearic Islands"
"JB02D","CRI-02D","Euphorbion pithyusae Biondi et Géhu in Géhu et Biondi 1994","Thermomediterranean subsaline chamaephytic garrigue on coastal cliffs of Corsica and Sardinia"
"JB02E","CRI-02E","Anthyllidion barbae-jovis S. Brullo et De Marco 1989","Subaerohaline coastal dwarf scrub on salt-sprayed cliffs of the eastern Tyrrhenian Sea"
"JB02F","CRI-02F","Crucianellion rupestris S. Brullo et Furnari 1990","Subaerohaline dwarf scrub on salt-sprayed cliffs of the European and North African coasts of the Lybian Sea"
"JB02G","CRI-02G","Elytrigio bessarabicae-Lactucion tataricae Korzhenevskii ex Didukh et Mucina in Mucina et al. 2016","Subaerohaline grasslands on limestone boulder-pebble beaches of Crimea"
"JB03","CRI-03","Crithmo-Armerietalia maritimae Géhu et Géhu-Franck 1984","Subaerohaline coastal grasslands on inland edges of salt-sprayed rocky cliffs of the temperate and boreal European Atlantic coasts"
"JB03A","CRI-03A","Cochleario officinalis-Armerion maritimae Géhu et Géhu-Franck 1984","Subaerohaline coastal grasslands on inland edges of salt-sprayed rocky cliffs of the boreo-atlantic coasts of Scotland and Iceland"
"JB04","CRI-04","Frankenio-Astydamietalia Santos 1976","Rupicolous vegetation of salt-sprayed coastal cliffs of the Canary Islands, Madeira and the Azores"
"JB04A","CRI-04A","Frankenio-Astydamion latifoliae Santos 1976","Vegetation of salt-sprayed coastal cliffs of the Canary Islands"
"JB04B","CRI-04B","Euphorbio azoricae-Festucion petraeae Lüpnitz 1976","Vegetation of salt-sprayed coastal cliffs of the Azores"
"JB04C","CRI-04C","Helichrysion obconico-devium Rivas-Mart. et al. 2002","Vegetation of salt-sprayed coastal cliffs of Madeira"
"JC","CAK","Cakiletea maritimae Tx. et Preising in Tx. ex Br.-Bl. et Tx. 1952","Pioneer halo-nitrophilous short-lived vegetation in strandlines of sandy and shingle beaches of the coasts of the North Atlantic and Arctic Oceans, the Mediterranean and the Black Sea"
"JC01","CAK-01","Atriplicetalia littoralis Sissingh in Westhoff et al. 1946","Pioneer halo-nitrophilous strandline vegetation of cold-temperate and boreal strandlines of the North Atlantic Ocean and the Baltic Sea"
"JC01A","CAK-01A","Atriplicion littoralis Nordhagen 1940","Pioneer halo-nitrophilous vegetation of silty strandlines of the North Atlantic Ocean and the Baltic Sea"
"JC01B","CAK-01B","Salsolo-Minuartion peploidis Tx. in Br.-Bl. et Tx. 1952","Pioneer halo-nitrophilous vegetation of sandy and gravelly strandlines of the North Atlantic Ocean and the Baltic Sea"
"JC01C","CAK-01C","Agropyro-Rumicion Nordhagen 1940 nom. ambig. rejic. propos.","Pioneer halo-nitrophilous vegetation of coastal shingle beaches of the boreo-atlantic coasts of the Baltic and North Seas"
"JC02","CAK-02","Cakiletalia edentulae Thannheiser 1981","Pioneer halo-nitrophilous strandline vegetation of the boreo-arctic and European and North American coasts of the Atlantic and Arctic Oceans"
"JC02A","CAK-02A","Cakilion edentulae Thannheiser 1981","Pioneer halo-nitrophilous strandline vegetation of the boreo-atlantic European and the Azorean coasts"
"JC02B","CAK-02B","Atriplicion nudicaulis Golub et al. 2003","Pioneer halo-nitrophilous strandline vegetation of the Arctic White Sea coasts"
"JC03","CAK-03","Thero-Atriplicetalia Pignatti 1953","Pioneer halo-nitrophilous strandline vegetation of the Cantabro-Atlantic, the Mediterranean and the Black Sea coasts"
"JC03A","CAK-03A","Euphorbion peplidis Tx. ex Oberd. 1952","Pioneer halo-nitrophilous strandline vegetation of the Cantabro-Atlantic and the Mediterranean coasts"
"JC03B","CAK-03B","Cakilion euxinae Géhu et al. 1994","Pioneer halo-nitrophilous strandline vegetation of the Black Sea coasts"
"JD","AMM","Ammophiletea Br.-Bl. et Tx. ex Westhoff et al. 1946","Tall-grass perennial swards on mobile coastal dunes of the seaboards of Europe, North America, Greenland, North Africa, Middle East and the Caspian Sea"
"JD01","AMM-01","Ammophiletalia Br.-Bl. et Tx. ex Westhoff et al. 1946","Tall-grass perennial swards on mobile white and embryonic coastal dunes of the warm-temperate to boreo-atlantic coasts of the Mediterranean and the Black and Caspian Seas"
"JD01A","AMM-01A","Ammophilion Br.-Bl. 1921","Tall-grass perennial swards on mobile white and embryonic coastal sand dunes of the Mediterranean"
"JD01B","AMM-01B","Elymion gigantei Morariu 1957","Tall-grass perennial swards on mobile and embryonic coastal sand dunes of the Black Sea"
"JD01C","AMM-01C","Elymion arenarii Christiansen 1927","Tall-grass perennial swards on mobile white and embryonic coastal dunes of the temperate North Atlantic Ocean"
"JD02","AMM-02","Honckenyo-Elymetalia arenarii Tx. 1966","Perennial grassy swards on rocky beaches, cliffs and embryonic dunes of the cold temperate and arctic shores of Europe, the European Arctic islands and Greenland"
"JD02A","AMM-02A","Agropyro-Honckenyion peploidis Tx. in Br.-Bl. et Tx. 1952 nom. mut. propos.","Perennial grassy swards on coastal foredunes of the cold-temperate Atlantic and the Baltic seaboards"
"JD02B","AMM-02B","Mertensio maritimae-Honckenyion diffusae Tx. et Géhu in Géhu 1998","Perennial grassy swards on coastal shingle beaches of the subarctic and arctic coasts of Northern Europe, the Arctic Ocean archipelagos and Greenland"
"JD03","AMM-03","Ammophiletalia breviligulatae Galiano 1959","Perennial grassy swards on rocky and sandy and shingle beaches of the shores of Greenland and North America"
"JD03A","AMM-03A","Honckenyo diffusae-Leymion mollis Géhu 1999","Perennial grassy swards on rocky and sandy and shingle beaches of the shores of Greenland"
"JE","CRU","Helichryso-Crucianelletea maritimae Géhu et al. in Sissingh 1974","Atlantic, Mediterranean and Euxinian dwarf scrub and grasslands on stabilised coastal grey hind dunes"
"JE01","CRU-01","Artemisio-Koelerietalia Sissingh 1974","Sandy grasslands and scrub on base-rich stabilised grey hind dunes of the shores of the cool-temperate Atlantic Ocean and the northern seaboards of the Ligurian and Adriatic Seas"
"JE01A","CRU-01A","Koelerion arenariae Tx. 1937 corr. Gutermann et Mucina 1993","Sandy grasslands on base-rich stabilised grey hind dunes of the North Sea coasts"
"JE01B","CRU-01B","Euphorbio portlandicae-Helichrysion stoechadis Sissingh 1974","Sandy grasslands and dwarf scrub on base-rich stabilised grey hind dunes of the francoatlantic shores of the Atlantic Ocean"
"JE01C","CRU-01C","Diantho catalaunici-Scrophularion humifusae Baudière et Simonneau 1974","Sandy grasslands and dwarf scrub on base-rich stabilised grey hind dunes of the shores of the Gulf of Lions (Languedoc and Northern Catalonia)"
"JE01D","CRU-01D","Syntrichio-Lomelosion argenteae Biondi, Sburlino et Theurillat in Sburlino et al. 2014","Sandy grasslands and dwarf scrub on base-rich stabilised grey hind dunes of the shores of the Gulf of Venice (Adriatic Sea)"
"JE02","CRU-02","Crucianelletalia maritimae Sissingh 1974","Mediterranean and Cantabro-Fracoatlantic dwarf scrub and grasslands on stabilised coastal hind dunes"
"JE02A","CRU-02A","Crucianellion maritimae Rivas Goday et Rivas-Mart. 1958","Western and Central Mediterranean dwarf scrub on stabilised coastal hind dunes"
"JE02B","CRU-02B","Helichrysion picardii (Rivas-Mart., M. Costa et Izco in Rivas-Mart. et al. 1990) Rivas-Mart. et al. 1999","Iberoatlantic dwarf scrub on stabilised coastal hind dunes"
"JE02C","CRU-02C","Helichryso barrelieri-Centaureion spinosae Mucina et Dimopoulos in Mucina et al. 2016","Aegean and Marmarean hemisphaeric-scrub coastal phygana on stabilised coastal hind dunes"
"JE03","CRU-03","Medicago-Seselietalia tenderiensis Umanets et V. Solomakha 1999","Grasslands and dwarf-scrub vegetation on stabilised coastal hind dunes of the Black and Azov Seas"
"JE03A","CRU-03A","Sileno thymifoliae-Jurineion kilaeae Géhu et Uslu ex Mucina in Mucina et al. 2016","Grasslands and dwarf-scrub vegetation on stabilised hind dunes of the southwestern coasts of the Black Sea"
"JE03B","CRU-03B","Scabiosion ucranicae Sanda et al. 1980","Grasslands and dwarf-scrub vegetation on stabilised hind dunes of the eastern coasts of the Black Sea"
"JE03C","CRU-03C","Cynodonto-Teucrion polii Korzhenevskii et Kliukin 1990","Grasslands and dwarf-scrub vegetation on stabilised hind dunes of the northern and northeastern coasts of the Black and Azov Seas"
"KA","ADI","Adiantetea Br.-Bl. et al. 1952","Relict chomophytic and chasmophytic vegetation in the shaded and water-splashed habitats of the Mediterranean, the Atlantic islands, North Africa and Middle East"
"KA01","ADI-01","Adiantetalia Br.-Bl. ex Horvatić 1934","Relict chomophytic and chasmophytic vegetation in shaded and water-splashed habitats of the Mediterranean, the Atlantic islands, North Africa and Middle East"
"KA01A","ADI-01A","Adiantion Br.-Bl. ex Horvatić 1934","Relict fern-rich chasmophytic communities in shaded and water-splashed habitats of the Mediterranean, the Atlantic islands, North Africa and Middle East"
"KA01B","ADI-01B","Pinguiculion longifoliae Fernández Casas 1970","Relict herb-rich chomophytic vegetation in shaded water-splashed habitats of the Mediterranean, North Africa and Middle East"
"KB","POD","Polypodietea Jurko et Peciar ex Boşcaiu, Gergely et Codoreanu in Raţiu et al. 1966","Chomophytic, chasmophytic and epiphytic vegetation of fern- and moss-rich communities in crevices and on the surface of rocky cliffs of temperate and mediterranean Europe"
"KB01","POD-01","Hypno cupressiformi-Polypodietalia vulgaris Jurko et Peciar ex Mucina et Theurillat in Mucina et al. 2015","Fern- and moss-rich chomophytic, chasmophytic and epiphytic vegetation of shaded rock faces and bark of old trees of cool-temperate Europe"
"KB01A","POD-01A","Hypno-Polypodion vulgaris Mucina 1993","Fern-rich vegetation of siliceous shaded rock crevices in the colline and submontane belts of Central and Eastern Europe"
"KB02","POD-02","Anomodonto-Polypodietalia serrati O. de Bolòs et Vives in O. de Bolòs 1957","Mediterranean and Madeirean-Azorean fern- and moss-rich chomophytic and chasmophytic vegetation of shaded rock faces and epiphytic on branches of old trees"
"KB02A","POD-02A","Polypodion serrati Br.-Bl. in Br.-Bl. et al. 1952","Circum-mediterranean fern-rich epilithic communities of shaded rock faces and crevices and epiphytic on branches of old trees"
"KB02B","POD-02B","Arenarion balearicae O. de Bolòs et Molinier 1969","Chomophytic and chasmophytic herb-rich vegetation of shaded limestone rock faces and crevices of the Tyrrhenian Sea archipelago"
"KB02C","POD-02C","Hymenophyllion tunbrigensis Tx. in Tx. et Oberd. 1958","Sciophilous chomophytic and epiphytic fern-rich vegetation in humid and perhumid regions of the Atlantic coasts"
"KB02D","POD-02D","Thelipterido pozoi-Woodwardion radicantis Fernández Prieto et Aguiar in Fernández Prieto et al. 2012","Madeirean-Azorean hyperoceanic fern-rich vegetation of rocky crevices and steep shaded loamy slopes"
"KB03","POD-03","Ctenidio-Polypodietalia vulgaris Jurko et Peciar ex Boşcaiu, Gergely et Codoreanu in Raţiu et al. 1966","Vegetation of shady calcareous rock faces and crevices at low altitudes of cool-temperate and submediterranean Europe"
"KB03A","POD-03A","Ctenidio-Polypodion vulgaris S. Brullo et al. 2001","Vegetation of shady calcareous rock faces and crevices of the Alps and the Carpathians"
"KB03B","POD-03B","Moehringion muscosae Horvat et Horvatić ex Boşcaiu, Gergely et Codoreanu in Raţiu et al. 1966","Vegetation of shady calcareous rock faces and crevices of southeastern Europe"
"KB03C","POD-03C","Polysticho setiferi-Phyllitidion scolopendrii Ubaldi ex Ubaldi et Biondi in Biondi et al. 2014","Vegetation of shady calcareous rock faces and crevices of the Apennines"
"KB04","POD-04","Violo biflorae-Cystopteridetalia alpinae Fernández Casas 1970","Vegetation of shady calcareous rock faces and crevices at high altitudes of cool-temperate Europe and in boreal-subarctic regions of the Arctic Ocean islands and Greenland"
"KB04A","POD-04A","Violo biflorae-Cystopteridion alpinae Fernández Casas 1970","Vegetation of shady calcareous rock faces and crevices at high altitudes of cool-temperate Western and Central Europe"
"KB04B","POD-04B","Cochlearion alpinae Br.-Bl. in Br.-Bl. 1952","Relict boreo-arctic vegetation of shady calcareous rock faces and crevices at low altitudes of the British Isles and Scandinavia"
"KB05","POD-05","Petrocoptidetalia pyrenaicae Rivas-Mart. et Cantó in Rivas-Mart. in al. 2002","Orocantabrian and Pre-Pyrenean calcareous chasmophytic vegetation of open cave floors and crevices of rock overhangs"
"KB05A","POD-05A","Valeriano longifoliae-Petrocoptidion Fernández Casas 1972","Pre-Pyrenean submediterranean (sub)montane chasmophytic vegetation of cave openings and rock overhangs, and shady rock crevices"
"KB05B","POD-05B","Rupicampanulion Rothmaler 1954","Orocantabro-Bercian meso-supramediterranean chasmophytic vegetation of open cave floors and crevices of rock overhangs"
"KC","ASP","Asplenietea trichomanis (Br.-Bl. in Meier et Br.-Bl. 1934) Oberd. 1977","Chasmophytic vegetation of crevices, rocky ledges and faces of rocky cliffs and walls of Europe, North Africa, Middle East, the Arctic archipelagos and Greenland"
"KC01","ASP-01","Geranio robertiani-Asplenietalia trichomanis Ferrez ex Mucina ined.","Chasmophytic vegetation of semi-shaded and sunny rock faces and crevices in the lowland to submontane belts of temperate Europe"
"KC01A","ASP-01A","Asplenio scolopendrii-Geranion robertiani Ferrez 2010","Chasmophytic vegetation of semi-shaded and sunny rock faces and crevices in the lowland to submontane belts of temperate Europe"
"KC01B","ASP-01B","Drabo cuspidatae-Campanulion tauricae Ryff 2000","Chasmophytic vegetation of calcareous cliffs at mid-altitudes of the Crimean mountains"
"KC02","ASP-02","Potentilletalia caulescentis Br.-Bl. in Br.-Bl. et Jenny 1926","Chasmophytic vegetation of sunny calcareous rock faces and crevices at high altitudes of the nemoral and boreal mountain ranges of Europe"
"KC02A","ASP-02A","Potentillion caulescentis Br.-Bl. In Br.-Bl. et Jenny 1926","Chasmophytic vegetation of calcareous rock faces and crevices in the subalpine and alpine belts of the Central and Eastern Alps and the Western Carpathians"
"KC02B","ASP-02B","Physoplexido comosae-Saxifragion petraeae Mucina et Theurillat 2015","Chasmophytic vegetation of calcareous rock faces and crevices in the subalpine and alpine belts of the Southern Alps"
"KC02C","ASP-02C","Saxifragion lingulatae (Rioux et Quézel 1949) Quézel 1950","Chasmophytic vegetation of calcareous rock faces and crevices at high altitudes of the Maritime Alps"
"KC02D","ASP-02D","Micromerion pulegii Boşcaiu (1971) 1979","Chasmophytic vegetation of calcareous rock faces and crevices in the montane and supramontane belts of the westernmost Southern Carpathians"
"KC02E","ASP-02E","Gypsophilion petraeae Borhidi et Pócs in Borhidi 1958","Chasmophytic vegetation of calcareous rock faces and crevices in the subalpine belt of the easternmost Southern and Eastern Carpathians"
"KC02F","ASP-02F","Saxifragion mediae Br.-Bl. in Meier et Br.-Bl. 1934","Chasmophytic vegetation of calcareous rock faces and crevices in the montane to alpine belts of the Eastern Pyrenees"
"KC02G","ASP-02G","Sedo albi-Seslerion hispanicae Br.-Bl. 1966","Chasmophytic vegetation on calcareous substrates in the alpine and subalpine belts of the Western Pyrenees and the Cantabrian Mountains"
"KC02H","ASP-02H","Asplenio celtiberici-Saxifragion cuneatae Rivas-Mart. in Loidi et Fernández Prieto 1986","Chasmophytic vegetation of calcareous rock faces and crevices in the meso- and supramediterranean belts of the Northern Iberian Peninsula"
"KC02I","ASP-02I","Drabion hispanicae Font Quer 1935","Chasmophytic vegetation of calcareous rock faces and crevices in the meso- and supramediterranean belts of the Eastern Iberian Peninsula"
"KC02J","ASP-02J","Saxifragion camposii Cuatrecasas ex Quézel 1953","Chasmophytic vegetation of calcareous rock faces and crevices at high altitudes of the Sierra Nevada (Southern Iberian Peninsula)"
"KC02K","ASP-02K","Saxifragion australis Biondi et Ballelli ex S. Brullo 1984","Chasmophytic vegetation of calcareous rock faces and crevices in the subalpine and alpine belts of the Apennines"
"KC02L","ASP-02L","Micromerion croaticae Horvat in Blečić 1959","Chasmophytic vegetation of calcareous rock faces and crevices in the subalpine belt of the northwestern Dinarides"
"KC03","ASP-03","Moltkeetalia petraeae Lakušić 1968","Chasmophytic vegetation of limestone crevices in the montane to alpine belts of the Central and Southern Dinarides"
"KC03A","ASP-03A","Edraianthion Lakušić 1968","Chasmophytic vegetation of limestone crevices in the montane and supramontane belts of the Central and Southern Dinarides"
"KC03B","ASP-03B","Amphoricarpion neumayeri Lakušić 1968","Chasmophytic vegetation of limestone crevices in the subalpine and alpine belts of the Central and Southern Dinarides"
"KC03C","ASP-03C","Edraiantho graminifolii-Erysimion comati Mucina et al. 1990","Chasmophytic vegetation of limestone crevices and rock faces and in the subalpine and alpine belts in the mountain ranges of the central-western regions of the Balkan Peninsula"
"KC04","ASP-04","Asplenietalia glandulosi Br.-Bl. in Meier et Br.-Bl. 1934","Thermo-mesomediterranean chasmophytic vegetation of sunny calcareous rock faces and crevices of the Western Mediterranean"
"KC04A","ASP-04A","Asplenion glandulosi Br.-Bl. in Meier et Br.-Bl. 1934","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the northern Tyrrhenian seaboards"
"KC04B","ASP-04B","Brassicion insularis Gamisans 1991","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the Cyrno-Sardean Tyrrhenian coasts and Pantelleria"
"KC04C","ASP-04C","Centaureo filiformis-Micromerion cordatae Arrigoni et Di Tommaso 1991","Chasmophytic vegetation of calcareous rock crevices at high altitudes of Sardinia"
"KC04D","ASP-04D","Arenarion bertolonii Gamisans ex Theurillat in Mucina et al. 2015","Chasmophytic vegetation of calcareous rock crevices at high altitudes of Corsica"
"KC04E","ASP-04E","Brassico balearicae-Helichrysion rupestris O. de Bolòs et Molinier 1958","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the Balearic Islands"
"KC04F","ASP-04F","Teucrion buxifolii Rivas Goday 1956","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the Eastern Iberian Peninsula"
"KC04G","ASP-04G","Campanulion velutinae Martínez-Parras et Peinado Lorca 1990","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of southernmost Spain and Northern Morocco"
"KC04H","ASP-04H","Cosentinio bivalentis-Lafuenteion rotundifoliae Asensi et al. 1990","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of semiarid regions of Southern Spain"
"KC05","ASP-05","Centaureo dalmaticae-Campanuletalia pyramidalis Trinajstić ex Terzi et Di Pietro 2016","Thermo-mesomediterranean chasmophytic vegetation of limestone cliffs of the Northern and Central Adriatic coastal regions"
"KC05A","ASP-05A","Centaureo dalmaticae-Campanulion Horvatić 1934","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the Northern Adriatic seaboards"
"KC05B","ASP-05B","Centaureo cuspidatae-Portenschlagiellion ramosissimae Trinajstić ex Terzi et Di Pietro 2016","Thermo-mesomediterranean chasmophytic vegetation of limestone crevices of the Central and Southern Adriatic seaboards"
"KC05C","ASP-05C","Asperulion garganicae Bianco et al. 1989","Thermo-mesomediterranean chasmophytic vegetation of limestone cliffs of the Monte Gargano (Italy)"
"KC06","ASP-06","Onosmetalia frutescentis Quézel 1968","Thermo-mesomediterranean chasmophytic vegetation of limestone cliffs of the Southern Adriatic and Ionian seaboards"
"KC06A","ASP-06A","Campanulion versicoloris Quézel 1964","Thermo-mesomediterranean chasmophytic vegetation of limestone rock crevices of the Hellenic Ionian coasts"
"KC06B","ASP-06B","Caro multiflori-Aurinion megalocarpae Terzi et D'Amico 2008","Thermo-mesomediterranean chasmophytic vegetation of limestone rock crevices of the southeastern Italian Adriatic and Ionian coasts"
"KC07","ASP-07","Cirsietalia chamaepeuces Horvat in Horvat, Glavač et Ellenberg ex Bergmeier et al. 2011","Chasmophytic vegetation of calcareous cliffs at low and mid-altitudes of the Aegean region"
"KC07A","ASP-07A","Petromarulo-Centaurion argenteae Horvat in Horvat, Glavač et Ellenberg ex Bergmeier et al. 2011","Chasmophytic vegetation of calcareous cliffs at low and mid-altitudes of Western Crete"
"KC07B","ASP-07B","Asterion cretici Zaffran ex Bergmeier et al. 2011","Chasmophytic vegetation of calcareous cliffs at low and mid-altitudes of Eastern Crete"
"KC07C","ASP-07C","Capparo-Amaracion tournefortii Horvat in Horvat, Glavač et Ellenberg ex Bergmeier et al. 2011","Chasmophytic vegetation of calcareous cliffs of the Northern and Central Aegean regions"
"KC07D","ASP-07D","Inulion heterolepidis Horvat ex Bergmeier et al. 2011","Chasmophytic vegetation of calcareous cliffs of the Dodecanese and Karpathos of the southeastern Aegean region"
"KC08","ASP-08","Sarcocapnetalia enneaphyllae Fernández Casas 1972","Calcicolous chasmophytic vegetation of open cave floors and rock overhangs of the mediterranean Iberian Peninsula"
"KC08A","ASP-08A","Sarcocapnion enneaphyllae Fernández Casas 1972","Calcicolous chasmophytic vegetation of open cave floors and rock overhangs of the central and eastern regions of the Iberian Peninsula"
"KC08B","ASP-08B","Sarcocapnion pulcherrimae Fernández Casas 1972 corr. Rivas-Mart. et al. 2002","Calcicolous chasmophytic vegetation of open cave floors and rock overhangs of the Southern Iberian Peninsula"
"KC09","ASP-09","Potentilletalia speciosae Quézel 1964","Chasmophytic vegetation of calcareous rocky crevices of the high mountain ranges of the Southern Balkans and the Aegean region"
"KC09A","ASP-09A","Galion degenii Quézel 1967","Chasmophytic vegetation of calcareous rocky crevices of the Pindos (Hellas)"
"KC09B","ASP-09B","Ramondion nathaliae Horvat ex Simon 1958","Chasmophytic vegetation of calcareous rocky crevices in the alpine belt of the southern and central regions of the Balkans"
"KC09C","ASP-09C","Saxifragion scardicae Dimopoulos et al. 1997","Chasmophytic vegetation of calcareous rocky crevices of Mt Olympos (Hellas)"
"KC09D","ASP-09D","Silenion auriculatae Quézel 1964","Chasmophytic vegetation of calcareous rocky crevices of the southern regions of the Hellenic mainland and the Peloponnisos"
"KC09E","ASP-09E","Arenarion creticae Dimopoulos et al. ex Bergmeier 2002","Chasmophytic vegetation of calcareous rocky crevices in the oromediterranean belt of Crete"
"KC10","ASP-10","Asplenietalia septentrionalo-cuneifolii Mucina in Mucina et Theurillat 2015","Chasmophytic vegetation of siliceous and ultramafic rock crevices at low altitudes of temperate and boreal Europe"
"KC10A","ASP-10A","Asplenion marini Segal 1969","Fern-rich chasmophytic vegetation of siliceous rock crevices in supralittoral habitats of the Cantabro-Atlantic coasts"
"KC10B","ASP-10B","Asplenion septentrionalis Gams in Oberd. 1938","Fern-rich chasmophytic vegetation of siliceous sunny rock crevices and boulder fields of temperate and boreal Europe"
"KC10C","ASP-10C","Asplenion serpentini Br.-Bl. et Tx. ex Eggler 1955","Fern-rich chasmophytic vegetation of ultramafic rock crevices of Central Europe"
"KC10D","ASP-10D","Pohlio crudae-Asplenion septentrionalis S. Brullo et Siracusa in S. Brullo et al. 2001","Fern-rich chasmophytic vegetation of siliceous rock crevices in the supramediterranean belt of Sicily and Calabria"
"KC10E","ASP-10E","Thalictro foetidi-Asplenion Onipchenko et Gorbachevskaya in Onipchenko 2002 (Biul. Mosk. Obshch. Ispyt. Prir., Otd. Biol.)","Fern-rich chasmophytic vegetation of siliceous rock crevices in the montane zone of the Caucasus"
"KC11","ASP-11","Androsacetalia vandellii Br.-Bl. in Meier et Br.-Bl. 1934 nom. corr.","Chasmophytic vegetation of crevices of siliceous rocks in the mountains in the nemoral, boreal and arctic zones of Europe"
"KC11A","ASP-11A","Saxifragion cotyledonis Nordhagen ex Mucina et Chytrý in Mucina et al. 2016","Chasmophytic vegetation of crevices and on ledges of siliceous rocks of Scandinavia, the Arctic Ocean archipelagos and Greenland"
"KC11B","ASP-11B","Allosuro-Athyrion alpestris Nordhagen 1943","Boreo-alpine and arctic vegetation on siliceous boulder fields of Scandinavia, Svalbard and Greenland"
"KC11C","ASP-11C","Androsacion vandellii Br.-Bl. in Br.-Bl. et Jenny 1926 nom. corr.","Chasmophytic vegetation of siliceous rock crevices and on ledges in the alpine and nival belts of the Central European mountains"
"KC11D","ASP-11D","Saxifragion pedemontanae Barbero et Bono 1967","Chasmophytic vegetation of siliceous rock crevices at high altitudes of the Maritime Alps"
"KC11E","ASP-11E","Saxifragion cymosae Lakušić 1970","Chasmophytic vegetation of siliceous rock crevices at high altitudes of the Western Balkans"
"KC11F","ASP-11F","Silenion lerchenfeldianae Simon 1958","Chasmophytic vegetation of siliceous rock crevices at high altitudes of the Eastern Carpathians and the Southern Balkans"
"KC11G","ASP-11G","Gypsophilion tenuifoliae Onipchenko 2002","Chasmophytic vegetation of siliceous rock crevices in the subalpine to subnival belts of the Caucasus"
"KC11H","ASP-11H","Hieracion carpetani González-Albo 1941","Chasmophytic vegetation of siliceous rock crevices at high altitudes of the Central and Northern Iberian Peninsula"
"KC11I","ASP-11I","Saxifragion nevadensis Rivas Goday et Rivas-Mart. 1971","Chasmophytic vegetation of siliceous rock crevices at high altitudes of the Sierra Nevada (Southern Iberian Peninsula)"
"KC11J","ASP-11J","Potentillion crassinerviae Gamisans 1975","Chasmophytic vegetation of siliceous rock crevices of in the supra- to oromediterranean belts of Corsica and Sardinia"
"KC12","ASP-12","Asplenietalia lanceolato-obovati (Loisel 1970) Theurillat et Mucina in Mucina et Theurillat 2015","Central and Western Mediterranean and submediterranean chasmophytic vegetation of siliceous rock crevices at low altitudes"
"KC12A","ASP-12A","Antirrhinion asarinae (Br.-Bl. in Meier et Br.-Bl. 1934) Br.-Bl. in Br.-Bl. et al. 1952","Chasmophytic vegetation of siliceous rock crevices and screes in the colline and submontane belts of the Massif Central"
"KC12B","ASP-12B","Cheilanthion hispanicae Rivas Goday et al. 1956","Chasmophytic vegetation of siliceous rock crevices in the meso- and supramediterranean belts of the Western Iberian Peninsula"
"KC12C","ASP-12C","Asplenio billotii-Dianthion godroniani Rameau 1996 nom. inval.","Supramediterranean chasmophytic vegetation of siliceous rock crevices of Corsica"
"KC12D","ASP-12D","Linarion caprariae Foggi et al. 2006","Thermo-mesomediterranean chasmophytic vegetation of siliceous rock crevices of the Tuscan Archipelago"
"KC12E","ASP-12E","Dianthion rupicolae S. Brullo et Marcenò 1979","Thermo-mesomediterranean chasmophytic vegetation of siliceous rock crevices of the Siculo-Calabrian Tyrrhenian coasts"
"KC13","ASP-13","Cheilanthetalia maranto-maderensis Sáenz de Rivas et Rivas-Mart. 1979","Mediterranean and Macaronesian thermophilous fern-rich chasmophytic vegetation of siliceous and ultramafic rock crevices"
"KC13A","ASP-13A","Cheilanthion pulchellae Sáenz de Rivas et Rivas-Mart. 1979","Macaronesian fern-rich chasmophytic vegetation of ultramafic rock crevices of the arid regions in the infra- and mesomediterranean belts"
"KC13B","ASP-13B","Phagnalo saxatilis-Cheilanthion maderensis Loisel 1970 corr. Pérez-Carro et al. 1989","Iberian fern-rich chasmophytic vegetation of ultramafic rock crevices in subhumid to humid regions in the infra- and supramediterranean belts"
"KC13C","ASP-13C","Polygonion icarici Horvat in Horvat, Glavač et Ellenberg ex Bergmeier et al. 2011","Thermomediterranean chasmophytic vegetation of sunny siliceous rock crevices of the southern islands of the Aegean archipelago"
"KD","CYM","Cymbalario-Parietarietea diffusae Oberd. 1969","Thermophilous chasmophytic vegetation of walls of the Mediterranean and the winter-mild atlantic to subcontinental regions of temperate Europe, Middle East and North Africa"
"KD01","CYM-01","Tortulo-Cymbalarietalia Segal 1969","Thermophilous chasmophytic vegetation of walls of the Mediterranean and the winter-mild atlantic to subcontinental regions of temperate Europe, Middle East and North Africa"
