taxon,evc.taxon
Hypericum maculatum agg.,
Hypericum maculatum s.str.,Hypericum maculatum subsp. maculatum
Hypericum montanum,Hypericum montanum
Hypericum perforatum,Hypericum perforatum subsp. perforatum
Hypericum pulchrum,Hypericum pulchrum
Hypericum tetrapterum,Hypericum tetrapterum
Hypnum cupressiforme var. lacunosum,Hypnum cupressiforme var. lacunosum
Hypnum jutlandicum,Hypnum jutlandicum
Hypochaeris glabra,Hypochaeris glabra
Hypochaeris maculata,Hypochaeris maculata
Hypochaeris radicata,Hypochaeris radicata subsp. radicata
Hypochaeris uniflora,Hypochaeris uniflora
Hypopitys hypophegea,Hypopitys monotropa subsp. hypophegea
Hypopitys monotropa s.str.,Hypopitys monotropa subsp. monotropa
Hyssopus officinalis,Hyssopus officinalis subsp. officinalis
Iberis amara,Iberis amara
Iberis sempervirens,Iberis sempervirens
Iberis umbellata,Iberis umbellata
Ilex aquifolium,Ilex aquifolium
Illecebrum verticillatum,Illecebrum verticillatum
Impatiens balsamina,
Impatiens cristata,
Impatiens glandulifera,Impatiens glandulifera
Impatiens noli-tangere,Impatiens noli-tangere
Impatiens parviflora,Impatiens parviflora
Inula britannica,Inula britannica
Inula conyzae,Inula conyzae
Inula ensifolia,Inula ensifolia
Inula germanica,Inula germanica
Inula helenium,Inula helenium
Inula hirta,Inula hirta
Inula oculus-christi,Inula oculus-christi
Inula salicina ssp. salicina,Inula salicina
Ipomoea purpurea,Ipomoea purpurea
Iris graminea,Iris graminea
Iris pallida,Iris pallida subsp. pallida
Iris pseudacorus,Iris pseudacorus
Iris pumila,Iris pumila
Iris sibirica,Iris sibirica
Iris spuria,Iris spuria subsp. spuria
Iris variegata,Iris variegata
Isatis tinctoria s.str.,Isatis tinctoria subsp. tinctoria
Isoetes lacustris,Isoetes lacustris
Isolepis fluitans,Isolepis fluitans
Isolepis setacea,Isolepis setacea
Isopyrum thalictroides,Isopyrum thalictroides
Isothecium myosuroides ssp. myosuroides,Isothecium myosuroides
Iva xanthiifolia,Iva xanthiifolia
Jasione montana ssp. montana,Jasione montana var. montana
Jovibarba globifera s.lat.,
Jovibarba globifera ssp. arenaria,Sempervivum globiferum subsp. arenarium
Jovibarba globifera ssp. globifera,Sempervivum globiferum subsp. globiferum
Jovibarba globifera ssp. hirta,Sempervivum globiferum subsp. hirtum
Jovibarba globifera ssp. pseudohirta,Sempervivum globiferum subsp. pseudohirtum
Juglans nigra,
Juglans regia,Juglans regia
Juncus acutiflorus,Juncus acutiflorus subsp. acutiflorus
Juncus alpinoarticulatus ssp. alpinoarticulatus,Juncus alpinoarticulatus subsp. alpinoarticulatus
Juncus arcticus,Juncus arcticus
Juncus articulatus,Juncus articulatus
Juncus biglumis,Juncus biglumis
Juncus bufonius s.str.,Juncus bufonius
Juncus bulbosus,Juncus bulbosus
Juncus capitatus,Juncus capitatus
Juncus castaneus,Juncus castaneus
Juncus compressus s.str.,Juncus compressus
Juncus conglomeratus,Juncus conglomeratus
Juncus effusus ssp. effusus,Juncus effusus
Juncus ensifolius,Juncus ensifolius
Juncus filiformis,Juncus filiformis
Juncus inflexus,Juncus inflexus
Juncus jacquinii,Juncus jacquinii
Juncus minutulus,Juncus minutulus
Juncus monanthos,Juncus monanthos
Juncus ranarius,Juncus ranarius
Juncus sphaerocarpus,Juncus sphaerocarpus
Juncus squarrosus,Juncus squarrosus
Juncus subnodulosus,Juncus subnodulosus
Juncus tenageia,Juncus tenageia subsp. tenageia
Juncus tenuis,Juncus tenuis
Juncus trifidus s.str.,Juncus trifidus
Juncus triglumis ssp. triglumis,Juncus triglumis
Juniperus communis s.lat.,
Juniperus communis ssp. communis,Juniperus communis subsp. communis
Juniperus communis ssp. nana,Juniperus communis subsp. nana
Juniperus sabina,Juniperus sabina
Juniperus tamariscifolia,
Jurinea mollis,Jurinea mollis
Kalmia angustifolia,Kalmia angustifolia
Kernera saxatilis,Kernera saxatilis subsp. saxatilis
Kerria japonica,Kerria japonica
Kiaeria starkei,Kiaeria starkei
Kickxia elatine ssp. elatine,Kickxia elatine
Kickxia spuria,Kickxia spuria subsp. spuria
Knautia arvensis s.lat.,
Knautia arvensis s.lat. »Felssippe«,
Knautia arvensis ssp. arvensis,Knautia arvensis subsp. arvensis
Knautia arvensis ssp. pannonica,Knautia arvensis subsp. pannonica
Knautia drymeia,Knautia drymeia subsp. drymeia
Knautia longifolia,Knautia longifolia
Knautia maxima ssp. maxima,Knautia maxima
Knautia ressmannii,Knautia ressmannii
Kobresia myosuroides,Kobresia myosuroides
Kobresia simpliciuscula,Kobresia simpliciuscula
Koeleria hirsuta,Koeleria hirsuta
Koeleria lobata,Koeleria lobata
Koeleria macrantha,Koeleria macrantha
Koeleria pyramidata var. pubiculmis,
Koeleria pyramidata var. pyramidata,Koeleria pyramidata subsp. pyramidata
Kolkwitzia amabilis,
Krascheninnikovia ceratoides,Krascheninnikovia ceratoides
Kurzia pauciflora,Kurzia pauciflora
Laburnum anagyroides,Laburnum anagyroides
Lactuca alpina,Lactuca alpina
Lactuca muralis,Lactuca muralis
Lactuca perennis,Lactuca perennis
Lactuca quercina,Lactuca quercina
Lactuca saligna,Lactuca saligna
Lactuca sativa,Lactuca sativa
Lactuca serriola,Lactuca serriola
Lactuca viminea,Lactuca viminea subsp. viminea
Lamium album,Lamium album
Lamium amplexicaule,Lamium amplexicaule var. amplexicaule
Lamium maculatum,Lamium maculatum
Lamium orvala,Lamium orvala
Lamium purpureum,Lamium purpureum
Lamprocapnos spectabilis,
Laphangium luteoalbum,
Lappula squarrosa s.str.,Lappula squarrosa
Lapsana communis s.lat.,
Lapsana communis ssp. communis,Lapsana communis subsp. communis
Lapsana communis ssp. intermedia,Lapsana communis subsp. intermedia
Larix decidua,Larix decidua var. decidua
Laser trilobum,Laser trilobum
Laserpitium archangelica,Laserpitium archangelica
Laserpitium halleri,Laserpitium halleri
Laserpitium latifolium s.lat.,
Laserpitium latifolium ssp. asperum,Laserpitium latifolium subsp. asperum
Laserpitium latifolium ssp. latifolium,Laserpitium latifolium subsp. latifolium
Laserpitium prutenicum,Laserpitium prutenicum subsp. prutenicum
Laserpitium siler ssp. siler,
Lathraea squamaria s.lat.,
Lathraea squamaria ssp. squamaria,Lathraea squamaria subsp. squamaria
Lathraea squamaria ssp. tatrica,Lathraea squamaria subsp. tatrica
Lathyrus aphaca,Lathyrus aphaca
Lathyrus heterophyllus,Lathyrus heterophyllus
Lathyrus hirsutus,Lathyrus hirsutus
Lathyrus laevigatus s.lat.,Lathyrus laevigatus
Lathyrus laevigatus ssp. laevigatus,Lathyrus laevigatus
Lathyrus laevigatus ssp. occidentalis,Lathyrus laevigatus
Lathyrus laevigatus ssp. scopolii,Lathyrus laevigatus
Lathyrus latifolius,Lathyrus latifolius
Lathyrus linifolius,Lathyrus linifolius
Lathyrus niger,Lathyrus niger
Lathyrus palustris,Lathyrus palustris
Lathyrus pannonicus,Lathyrus pannonicus subsp. pannonicus
Lathyrus pratensis s.lat.,
Lathyrus pratensis ssp. lusseri,Lathyrus pratensis subsp. lusseri
Lathyrus pratensis ssp. pratensis,Lathyrus pratensis subsp. pratensis
Lathyrus sativus,Lathyrus sativus
Lathyrus sylvestris,Lathyrus sylvestris
Lathyrus tuberosus,Lathyrus tuberosus
Lathyrus vernus,Lathyrus vernus subsp. vernus
Lavandula angustifolia,Lavandula angustifolia subsp. angustifolia
Lavatera thuringiaca,Malva thuringiaca
Lavatera trimestris,Malva trimestris
Leersia oryzoides,Leersia oryzoides
Legousia speculum-veneris,Legousia speculum-veneris
Lemna gibba,Lemna gibba
Lemna minor,Lemna minor
Lemna minuta,Lemna minuta
Lemna trisulca,Lemna trisulca
Lemna turionifera,Lemna turionifera
Lens culinaris,Lens culinaris
Leontodon hispidus s.lat.,
Leontodon hispidus ssp. dubius,
Leontodon hispidus ssp. hispidus,Leontodon hispidus subsp. hispidus
Leontodon hispidus ssp. hyoseroides,
Leontodon incanus,Leontodon incanus
Leontodon saxatilis,Leontodon saxatilis subsp. saxatilis
Leontopodium alpinum,Leontopodium nivale subsp. alpinum
Leonurus cardiaca ssp. cardiaca,Leonurus cardiaca
Leonurus cardiaca ssp. villosus,Leonurus cardiaca
Leonurus marrubiastrum,Leonurus marrubiastrum
Lepidium campestre,Lepidium campestre
Lepidium densiflorum,Lepidium densiflorum
Lepidium didymum,Lepidium didymum
Lepidium draba,Lepidium draba
Lepidium neglectum,Lepidium densiflorum
Lepidium perfoliatum,Lepidium perfoliatum
Lepidium ruderale,Lepidium ruderale
Lepidium sativum,
Lepidium virginicum s.str.,Lepidium virginicum
Lepyrodiclis holosteoides,
Leucanthemopsis alpina,Leucanthemopsis alpina subsp. alpina
Leucanthemum adustum s.lat.,
Leucanthemum adustum ssp. adustum,Leucanthemum adustum subsp. adustum
Leucanthemum adustum ssp. margaritae,Leucanthemum adustum subsp. margaritae
Leucanthemum atratum s.str.,Leucanthemum atratum
Leucanthemum gaudinii,
Leucanthemum halleri,Leucanthemum halleri
Leucanthemum ircutianum,Leucanthemum ircutianum subsp. ircutianum
Leucanthemum maximum agg.,
Leucanthemum maximum-Hybriden,
Leucanthemum vulgare agg.,
Leucanthemum vulgare s.str.,Leucanthemum vulgare subsp. vulgare
Leucojum aestivum,Leucojum aestivum subsp. aestivum
Leucojum vernum,Leucojum vernum
Levisticum officinale,
Leymus arenarius,Leymus arenarius
Ligustrum ovalifolium,
Ligustrum vulgare,Ligustrum vulgare
Lilium bulbiferum s.lat.,
Lilium bulbiferum ssp. bulbiferum,Lilium bulbiferum subsp. bulbiferum
Lilium bulbiferum ssp. croceum,Lilium bulbiferum subsp. croceum
Lilium candidum,
Lilium martagon,Lilium martagon
Limnanthes douglasii,
Limodorum abortivum,Limodorum abortivum
Limosella aquatica,Limosella aquatica
Linaria alpina ssp. alpina,Linaria alpina subsp. alpina
Linaria alpina ssp. petraea,Linaria alpina subsp. petraea
Linaria arvensis,Linaria arvensis
Linaria bipartita-Hybride,
Linaria caesia,Linaria caesia
Linaria dalmatica,Linaria dalmatica
Linaria genistifolia,Linaria genistifolia
Linaria repens,Linaria repens
Linaria simplex,Linaria simplex
Linaria supina,Linaria supina
Linaria vulgaris s.str.,Linaria vulgaris
Lindernia procumbens,Lindernia procumbens
Linnaea borealis,Linnaea borealis
Linum alpinum,Linum alpinum
Linum austriacum ssp. austriacum,Linum austriacum subsp. austriacum
Linum catharticum,Linum catharticum subsp. catharticum
Linum flavum s.str.,Linum flavum
Linum hirsutum ssp. hirsutum,Linum hirsutum subsp. hirsutum
Linum perenne s.strictiss.,
Linum tenuifolium,Linum tenuifolium
Linum usitatissimum,Linum usitatissimum
Linum viscosum,Linum viscosum
Liparis loeselii,Liparis loeselii
Listera cordata,Neottia cordata
Listera ovata,Neottia ovata
Lithospermum officinale,Lithospermum officinale
Lloydia serotina,Lloydia serotina
Lobelia erinus,
Lobularia maritima,Lobularia maritima
Loiseleuria procumbens,Kalmia procumbens
Lolium multiflorum,Lolium multiflorum
Lolium perenne,Lolium perenne
Lolium remotum,Lolium remotum
Lolium temulentum s.str.,Lolium temulentum
Lomatogonium carinthiacum,Lomatogonium carinthiacum
Lomelosia graminifolia,Lomelosia graminifolia
Loncomelos pyrenaicus ssp. pyrenaicus,Ornithogalum pyrenaicum
Loncomelos pyrenaicus ssp. sphaerocarpus,Ornithogalum sphaerocarpum
Lonicera alpigena,Lonicera alpigena subsp. alpigena
Lonicera caerulea ssp. caerulea,Lonicera caerulea subsp. caerulea
Lonicera caprifolium,Lonicera caprifolium
Lonicera henryi,
Lonicera japonica,Lonicera japonica
Lonicera nigra,Lonicera nigra
Lonicera nitida,
Lonicera periclymenum,Lonicera periclymenum subsp. periclymenum
Lonicera pileata,Lonicera pileata
Lonicera tatarica,Lonicera tatarica
Lonicera xylosteum,Lonicera xylosteum
Lophocolea bidentata,Lophocolea bidentata
Loranthus europaeus,Loranthus europaeus
Lotus corniculatus s.lat.,
Lotus corniculatus s.str.,Lotus corniculatus subsp. corniculatus
Lotus corniculatus var. alpicola s.lat.,Lotus corniculatus subsp. glacialis
Lotus corniculatus var. corniculatus s.lat.,Lotus corniculatus subsp. corniculatus
Lotus maritimus var. siliquosus,Tetragonolobus maritimus var. maritimus
Lotus pedunculatus,Lotus pedunculatus
Lotus tenuis,Lotus tenuis
Ludwigia palustris,Ludwigia palustris
Lunaria annua,Lunaria annua subsp. annua
Lunaria rediviva,Lunaria rediviva
Lupinus albus,
Lupinus angustifolius,Lupinus angustifolius
Lupinus polyphyllus,Lupinus polyphyllus
Luzula alpina,Luzula alpina
Luzula alpinopilosa s.str.,Luzula alpinopilosa
Luzula campestris agg.,
Luzula campestris s.str.,Luzula campestris
Luzula divulgata,Luzula divulgata
Luzula forsteri,Luzula forsteri subsp. forsteri
Luzula glabrata,Luzula glabrata
Luzula lutea,Luzula lutea
Luzula luzulina,Luzula luzulina
Luzula luzuloides,Luzula luzuloides subsp. luzuloides
Luzula luzuloides var. rubella,Luzula luzuloides subsp. rubella
Luzula multiflora s.str.,Luzula multiflora subsp. multiflora
Luzula nivea,Luzula nivea
Luzula pilosa,Luzula pilosa
Luzula spicata s.lat.,
Luzula spicata ssp. conglomerata,Luzula spicata subsp. conglomerata
Luzula spicata ssp. spicata,Luzula spicata subsp. spicata
Luzula sudetica,Luzula sudetica
Luzula sylvatica s.lat.,
Luzula sylvatica ssp. sieberi,Luzula sylvatica subsp. sieberi
Luzula sylvatica ssp. sylvatica,Luzula sylvatica subsp. sylvatica
Lychnis coronaria,Lychnis coronaria
Lychnis flos-cuculi,Lychnis flos-cuculi
Lychnis flos-jovis,Lychnis flos-jovis
Lycium barbarum,Lycium barbarum
Lycopodiella inundata,Lycopodiella inundata
Lycopodium annotinum,Lycopodium annotinum subsp. annotinum
Lycopodium clavatum s.lat.,
Lycopodium clavatum ssp. clavatum,Lycopodium clavatum subsp. clavatum
Lycopodium clavatum ssp. monostachyon,Lycopodium clavatum subsp. monostachyon
Lycopus europaeus s.lat.,
Lycopus europaeus ssp. europaeus,Lycopus europaeus subsp. europaeus
Lycopus europaeus ssp. mollis,
Lycopus exaltatus,Lycopus exaltatus
Lysimachia nemorum,Lysimachia nemorum
Lysimachia nummularia,Lysimachia nummularia
Lysimachia punctata,Lysimachia punctata
Lysimachia thyrsiflora,Lysimachia thyrsiflora
Lysimachia vulgaris,Lysimachia vulgaris
Lythrum hyssopifolia,Lythrum hyssopifolia
Lythrum salicaria,Lythrum salicaria
Lythrum virgatum,Lythrum virgatum
Mahonia aquifolium,
Maianthemum bifolium,Maianthemum bifolium
Malaxis monophyllos ssp. monophyllos,Malaxis monophyllos
Malaxis paludosa,Hammarbya paludosa
Malus dasyphylla,Malus dasyphylla
Malus domestica,
Malus sylvestris,Malus sylvestris
Malus sylvestris agg.,
Malva alcea,Malva alcea
Malva moschata,Malva moschata
Malva neglecta,Malva neglecta
Malva pusilla,Malva pusilla
Malva sylvestris s.lat.,Malva sylvestris
Malva sylvestris var. mauritiana,Malva sylvestris
Malva sylvestris var. sylvestris,Malva sylvestris
Malva verticillata,Malva verticillata
Marrubium peregrinum,Marrubium peregrinum
Marrubium vulgare,Marrubium vulgare
Marsilea quadrifolia,Marsilea quadrifolia
Matricaria chamomilla,
Matricaria discoidea,Matricaria discoidea
Matteuccia struthiopteris,Matteuccia struthiopteris
Mauranthemum paludosum,Mauranthemum paludosum subsp. paludosum
Meconopsis cambrica,Meconopsis cambrica
Medicago falcata,Medicago falcata subsp. falcata
Medicago lupulina,Medicago lupulina
Medicago minima,Medicago minima
Medicago monspeliaca,Medicago monspeliaca
Medicago prostrata,Medicago prostrata
Medicago sativa s.lat.,
Meesia uliginosa,Meesia uliginosa
Melampyrum arvense,Melampyrum arvense
Melampyrum barbatum,Melampyrum barbatum subsp. barbatum
Melampyrum cristatum,Melampyrum cristatum
Melampyrum nemorosum s.str.,Melampyrum nemorosum subsp. nemorosum
Melampyrum pratense,Melampyrum pratense
Melampyrum subalpiunum s.lat.,
Melampyrum sylvaticum s.str.,Melampyrum sylvaticum
Melica altissima,Melica altissima
Melica ciliata s.str.,Melica ciliata subsp. ciliata
Melica nutans s.str.,Melica nutans
Melica transsilvanica,Melica transsilvanica subsp. transsilvanica
Melica uniflora,Melica uniflora
Melilotus albus,Melilotus albus
Melilotus altissimus,Melilotus altissimus
Melilotus dentatus,Melilotus dentatus
Melilotus officinalis,Melilotus officinalis
Melissa officinalis ssp. officinalis,Melissa officinalis
Melittis melissophyllum,Melittis melissophyllum subsp. melissophyllum
Mentha aquatica,Mentha aquatica
Mentha arvensis,Mentha arvensis
Mentha longifolia,Mentha longifolia
Mentha pulegium,Mentha pulegium
Mentha spicata s.str.,Mentha spicata
Mentha suaveolens,Mentha suaveolens
Menyanthes trifoliata,Menyanthes trifoliata
Mercurialis annua,Mercurialis annua
Mercurialis ovata,Mercurialis ovata
Mercurialis perennis s.str.,Mercurialis perennis
Mespilus germanica,
Meum athamanticum,Meum athamanticum
Micropyrum tenellum,Micropyrum tenellum
Microrrhinum litorale,Chaenorhinum litorale subsp. litorale
Microrrhinum minus s.str.,Chaenorhinum minus subsp. minus
Microthlaspi perfoliatum,Microthlaspi perfoliatum
Milium effusum ssp. effusum,Milium effusum subsp. effusum
Mimulus guttatus,Mimulus guttatus
Mimulus moschatus,Mimulus moschatus
Minuartia austriaca,Minuartia austriaca
Minuartia biflora,Minuartia biflora
Minuartia cherlerioides s.lat.,
Minuartia cherlerioides ssp. cherlerioides,Minuartia cherlerioides subsp. cherlerioides
Minuartia cherlerioides ssp. quadrifaria,
Minuartia gerardii,Minuartia gerardi
Minuartia glaucina,Minuartia glaucina
Minuartia hybrida,Minuartia hybrida subsp. hybrida
Minuartia langii,Minuartia langii
Minuartia laricifolia,Minuartia laricifolia subsp. laricifolia
Minuartia rubra,Minuartia rubra
Minuartia rupestris s.str.,Minuartia rupestris subsp. rupestris
Minuartia sedoides,Minuartia sedoides
Minuartia setacea,Minuartia setacea
Miscanthus sacchariflorus,
Miscanthus sinensis,
Misopates orontium,Misopates orontium
Moehringia ciliata,Moehringia ciliata
Moehringia diversifolia,Moehringia diversifolia
Moehringia muscosa,Moehringia muscosa
Moehringia trinervia,Moehringia trinervia
Moenchia erecta,Moenchia erecta
Molinia arundinacea,Molinia arundinacea
Molinia caerulea agg.,
Molinia caerulea s.str.,Molinia caerulea
Monarda didyma,
Monarda fistulosa,
Moneses uniflora,Moneses uniflora
Montia fontana s.lat.,
Montia fontana ssp. amporitana,Montia fontana subsp. amporitana
Montia fontana ssp. fontana,Montia fontana subsp. fontana
Montia fontana ssp. variabilis,Montia fontana subsp. fontana
Morus alba,
Morus nigra,
Muscari armeniacum auct.,
Muscari botryoides,Muscari botryoides
Muscari comosum,Muscari comosum
Muscari neglectum,Muscari neglectum
Muscari tenuiflorum,Muscari tenuiflorum
Mutellina adonidifolia,Ligusticum mutellina
Myagrum perfoliatum,Myagrum perfoliatum
Myosotis alpestris,Myosotis alpestris subsp. alpestris
Myosotis arvensis ssp. arvensis,Myosotis arvensis
Myosotis decumbens s.lat.,
Myosotis decumbens ssp. decumbens,Myosotis decumbens subsp. decumbens
Myosotis decumbens ssp. kerneri,Myosotis decumbens subsp. kerneri
Myosotis decumbens ssp. variabilis,Myosotis decumbens subsp. variabilis
Myosotis discolor,Myosotis discolor subsp. discolor
Myosotis laxa,Myosotis laxa
Myosotis nemorosa,Myosotis nemorosa
Myosotis palustris agg.,
Myosotis ramosissima ssp. ramosissima,Myosotis ramosissima
Myosotis rehsteineri,Myosotis rehsteineri
Myosotis scorpioides ssp. scorpioides,Myosotis scorpioides
Myosotis sparsiflora,Myosotis sparsiflora
Myosotis stenophylla,Myosotis stenophylla
Myosotis stricta,Myosotis stricta
Myosotis sylvatica agg.,
Myosotis sylvatica s.str.,Myosotis sylvatica
Myosurus minimus,Myosurus minimus
Myricaria germanica,Myricaria germanica
Myriophyllum alterniflorum,Myriophyllum alterniflorum
Myriophyllum spicatum,Myriophyllum spicatum
Myriophyllum verticillatum,Myriophyllum verticillatum
Myrrhis odorata,Myrrhis odorata
Najas marina s.lat.,Najas marina
Najas marina ssp. intermedia,Najas marina
Najas marina ssp. marina,Najas marina
Najas minor,Najas minor
Narcissus minor,
Narcissus poëticus s.str.,
Narcissus pseudonarcissus,Narcissus pseudonarcissus subsp. pseudonarcissus
Narcissus radiiflorus,Narcissus poeticus subsp. radiiflorus
Nardus stricta,Nardus stricta
Nasturtium microphyllum,Nasturtium microphyllum
Nasturtium officinale s.str.,Nasturtium officinale
Neckera pumila,Neckera pumila
Neotinea tridentata ssp. tridentata,Neotinea tridentata subsp. tridentata
Neotinea ustulata,Neotinea ustulata var. ustulata
Neottia nidus-avis,Neottia nidus-avis
Nepeta cataria,Nepeta cataria
Nepeta nuda,Nepeta nuda subsp. nuda
Nepeta racemosa,
Neslia paniculata s.str.,Neslia paniculata subsp. paniculata
Nicandra physalodes,Nicandra physalodes
Nicotiana langsdorfii,
Nicotiana rustica,
Nigella arvensis ssp. arvensis,Nigella arvensis subsp. arvensis
Nigella damascena,Nigella damascena
Nigella sativa,
Nigritella miniata s.str.,
Nigritella nigra ssp. austriaca,Gymnadenia austriaca var. austriaca
Nigritella rhellicani,Gymnadenia rhellicani
Nigritella stiriaca,Gymnadenia stiriaca
Nigritella widderi,Gymnadenia widderi
Noccaea brachypetala ssp. brachypetala,Noccaea brachypetala
Noccaea brachypetala ssp. huteri,Noccaea brachypetala
Noccaea caerulescens ssp. caerulescens,Noccaea caerulescens
Noccaea crantzii,Noccaea crantzii
Noccaea goesingensis,Noccaea goesingensis
Noccaea montana,Noccaea montana
Noccaea rotundifolia ssp. rotundifolia,Noccaea rotundifolia subsp. rotundifolia
Nonea pulla ssp. pulla,
Notholaena marantae,Paragymnopteris marantae
Nuphar lutea,Nuphar lutea
Nuphar pumila,Nuphar pumila
Nymphaea alba,Nymphaea alba
Nymphaea candida,Nymphaea candida
Nymphoides peltata,Nymphoides peltata
Odontites luteus,Odontites luteus
Odontites vernus,Odontites vernus
Odontites vulgaris,Odontites vulgaris
Odontoschisma sphagni,Odontoschisma sphagni
Oenanthe aquatica s.str.,Oenanthe aquatica
Oenanthe fistulosa,Oenanthe fistulosa
Oenanthe pimpinelloides,Oenanthe pimpinelloides
Oenanthe silaifolia,Oenanthe silaifolia
Oenothera acutifolia,
Oenothera biennis aag.,
Oenothera biennis s.str.,Oenothera biennis
Oenothera canovirens,Oenothera canovirens
Oenothera carinthiaca,
Oenothera coronifera,
Oenothera deflexa,Oenothera deflexa
Oenothera depressa,Oenothera depressa
Oenothera glazioviana,Oenothera glazioviana
Oenothera oakesiana,Oenothera oakesiana
Oenothera parviflora s.str.,Oenothera parviflora
Oenothera pycnocarpa,Oenothera pycnocarpa
Oenothera rubricaulis,Oenothera rubricaulis
Oenothera suaveolens,Oenothera suaveolens
Oenothera subterminalis,Oenothera subterminalis
Omphalodes scorpioides,Omphalodes scorpioides
Omphalodes verna,Omphalodes verna
Onobrychis arenaria ssp. arenaria,Onobrychis arenaria subsp. arenaria
Onobrychis montana ssp. montana,Onobrychis montana subsp. montana
Onobrychis viciifolia s.str.,Onobrychis viciifolia
Ononis arvensis,Ononis spinosa subsp. hircina
Ononis pusilla,Ononis pusilla
Ononis repens ssp. procurrens,Ononis repens
Ononis spinosa s.lat.,
Ononis spinosa ssp. austriaca,Ononis spinosa subsp. austriaca
Ononis spinosa ssp. spinosa,Ononis spinosa subsp. spinosa
Onopordum acanthium,Onopordum acanthium subsp. acanthium
Onosma visianii,Onosma visianii
Ophioglossum vulgatum s.str.,Ophioglossum vulgatum
Ophrys apifera,Ophrys apifera
Ophrys holoserica,Ophrys holoserica subsp. holoserica
Ophrys insectifera,Ophrys insectifera subsp. insectifera
Ophrys sphegodes s.str.,Ophrys sphegodes subsp. sphegodes
Orchis mascula s.lat.,
Orchis mascula ssp. speciosa,Orchis mascula subsp. speciosa
Orchis militaris,Orchis militaris
Orchis pallens,Orchis pallens subsp. pallens
Orchis purpurea,Orchis purpurea
Orchis simia,Orchis simia
Orchis spitzelii,Orchis spitzelii subsp. spitzelii
Orchis tridentata,Neotinea tridentata subsp. tridentata
Orchis ustulata s.lat.,
Orchis ustulata ssp. aestivalis,Neotinea ustulata var. aestivalis
Orchis ustulata ssp. ustulata,Neotinea ustulata var. ustulata
Oreochloa disticha,Oreochloa disticha subsp. disticha
Origanum majorana,
Origanum vulgare ssp. vulgare,Origanum vulgare subsp. vulgare
Orlaya grandiflora,Orlaya grandiflora
Ornithogalum divergens,Ornithogalum divergens
Ornithogalum kochii,Ornithogalum orthophyllum subsp. kochii
Ornithogalum umbellatum agg.,
Ornithogalum umbellatum s.str.,Ornithogalum umbellatum
Ornithogalum vulgare,Ornithogalum umbellatum
Orobanche alba,Orobanche alba
Orobanche artemisiae-campestris,Orobanche artemisiae-campestris
Orobanche caryophyllacea,Orobanche caryophyllacea
Orobanche coerulescens,Orobanche coerulescens
Orobanche elatior,Orobanche elatior
Orobanche flava,Orobanche flava
Orobanche gracilis,Orobanche gracilis
Orobanche lucorum,Orobanche lucorum
Orobanche lutea,Orobanche lutea
Orobanche minor,Orobanche minor
Orobanche picridis,Orobanche picridis
Orobanche rapum-genistae,Orobanche rapum-genistae
Orobanche reticulata s.lat.,Orobanche reticulata
Orobanche reticulata ssp. pallidiflora,Orobanche reticulata
Orobanche reticulata ssp. reticulata,Orobanche reticulata
Orobanche salviae,Orobanche salviae
Orobanche teucrii,Orobanche teucrii
Orthilia secunda,Orthilia secunda
Orthotrichum pallens,Orthotrichum pallens
Ostrya carpinifolia,Ostrya carpinifolia
Othocallis amoena,
Othocallis siberica,
Oxalis acetosella,Oxalis acetosella
Oxalis corniculata,Oxalis corniculata
Oxalis dillenii,Oxalis dillenii
Oxalis stricta,Oxalis stricta
Oxyria digyna,Oxyria digyna
Oxyrrhynchium hians var. hians,Oxyrrhynchium hians
Oxytropis campestris s.lat.,
Oxytropis campestris ssp. campestris,Oxytropis campestris subsp. campestris
Oxytropis campestris ssp. tiroliensis,Oxytropis campestris subsp. tyroliensis
Oxytropis carpatica,Oxytropis carpatica
Oxytropis halleri s.lat.,
Oxytropis halleri ssp. halleri,Oxytropis halleri subsp. halleri
Oxytropis halleri ssp. korabensis,
Oxytropis halleri ssp. velutina,Oxytropis halleri subsp. velutina
Oxytropis lapponica,Oxytropis lapponica
Oxytropis montana s.str.,Oxytropis jacquinii
Oxytropis pilosa,Oxytropis pilosa
Oxytropis triflora,Oxytropis triflora
Pachypleurum mutellinoides,Ligusticum mutellinoides
Pachysandra terminalis,
Paederota bonarota,Paederota bonarota
Paederota lutea,Paederota lutea
Paeonia officinalis,Paeonia officinalis subsp. officinalis
Palustriella commutata s.lat.,Palustriella commutata
Palustriella commutata var. commutata,Palustriella commutata
Palustriella commutata var. falcata,Palustriella commutata
Palustriella commutata var. sulcata,Palustriella commutata
Palustriella decipiens,Palustriella decipiens
Panicum capillare,Panicum capillare
Panicum dichotomiflorum,Panicum dichotomiflorum
Panicum hillmanii,Panicum hillmanii
Panicum laevifolium,
Panicum miliaceum ssp. agricola,
Panicum miliaceum ssp. miliaceum,
Panicum miliaceum ssp. ruderale,Panicum miliaceum subsp. ruderale
Panicum riparium,Panicum riparium
Papaver alpinum ssp. alpinum,Papaver alpinum subsp. alpinum
Papaver alpinum ssp. sendtneri,Papaver alpinum subsp. sendtneri
Papaver argemone,Papaver argemone
Papaver bracteatum,
Papaver croceum,Papaver croceum
Papaver dubium s.lat.,
Papaver dubium ssp. austromoravicum,Papaver albiflorum subsp. austromoravicum
Papaver dubium ssp. confine,Papaver dubium subsp. confine
Papaver dubium ssp. dubium,Papaver dubium subsp. dubium
