Taxon,L,T,K,F,R,N,,FZ,S
Rhododendron hirsutum,7,3,5,4,7,3,,,0
Rhododendron luteum,5,6,7,5,5,4,,,0
Rhododendron ponticum,4,7,3,6,4,5,,,0
Rhododendron tomentosum,5,4,7,8,2,2,,,0
Rhododendron x intermedium,7,3,5,5,7,2,,,0
Rhodothamnus chamaecistus,6,3,5,5,8,2,,~,0
Rhus typhina,8,7,6,4,6,5,,,0
Rhynchospora alba,8,5,i,9,3,2,,=,0
Rhynchospora fusca,8,5,4,9,2,2,,=,0
Ribes alpinum,5,4,5,5,8,6,,,0
Ribes aureum,7,7,5,5,7,6,,,0
Ribes nigrum,4,6,6,8,6,5,,=,0
Ribes petraeum,5,4,i,5,6,6,,,0
Ribes rubrum,4,6,4,6,6,6,,,0
Ribes sanguineum,5,7,3,6,6,5,,,0
Ribes spicatum,4,6,6,6,6,7,,=,0
Ribes uva-crispa,4,5,4,4,6,6,,,0
Ricinus communis,9,9,5,4,6,7,,,0
Ridolfia segetum,9,9,4,3,6,5,,,0
Robinia pseudoacacia,6,6,7,4,6,7,,,1
Rodgersia podophylla,3,7,3,6,5,7,,,0
Rorippa amphibia,7,6,6,10,7,8,,,0
Rorippa austriaca,7,7,7,7,7,7,,~,1
Rorippa islandica,9,2,6,9,3,4,,=,0
Rorippa lippizensis,7,7,7,3,7,4,,,0
Rorippa palustris,7,6,i,8,6,7,,=,1
Rorippa pyrenaica,8,7,5,4,6,7,,,0
Rorippa sylvestris,7,6,i,8,7,7,,=,1
Rorippa x anceps,7,6,5,9,7,7,,=,1
Rorippa x armoracioides,7,6,i,7,7,7,,=,0
Rorippa x astyla,7,6,4,6,6,7,,,0
Rosa abietina,8,6,4,4,7,3,,,0
Rosa acicularis,5,6,9,6,6,6,,,0
Rosa agrestis,8,6,5,3,8,3,,,0
Rosa altaica,8,7,9,3,7,5,,,0
Rosa arvensis,5,6,3,5,7,5,,~,0
Rosa balsamica,7,6,5,4,8,4,,,0
Rosa blanda,7,7,5,5,7,5,,,0
Rosa caesia,7,5,5,4,8,3,,,1
Rosa canina s. lat.,7,5,i,4,6,i,,,0
Rosa canina var. andegavensis,8,6,4,5,6,5,,,0
Rosa canina var. blondaeana,8,6,4,4,7,4,,,0
Rosa canina var. canina,7,5,3,4,6,3,,,0
Rosa canina var. corymbifera,7,6,i,4,7,4,,,0
Rosa canina var. deseglisei,8,6,i,4,7,4,,,0
Rosa canina var. squarrosa,8,6,4,4,8,4,,,0
Rosa dumalis,7,4,3,4,6,3,,,0
Rosa elliptica,8,6,5,3,7,3,,~,0
Rosa foetida,6,7,6,3,5,4,,,0
Rosa gallica,7,7,6,4,7,4,,~,0
Rosa glauca,8,4,4,4,7,2,,,0
Rosa gremlii,8,6,5,3,7,3,,,0
Rosa inodora s. lat. (inkl. R. elliptica),8,6,5,3,6,3,,~,0
Rosa inodora s. str.,8,6,5,3,6,3,,,0
Rosa majalis,7,6,7,5,8,3,,,0
Rosa marginata,8,6,6,4,7,4,,~,0
Rosa micrantha,8,6,5,3,8,3,,,0
Rosa montana,8,6,4,3,6,4,,,0
Rosa multiflora,6,7,2,3,6,5,,,0
Rosa pendulina,6,4,4,5,7,5,,,0
Rosa pseudoscabriuscula,7,5,i,3,8,3,,,0
Rosa rhaetica,7,4,7,3,5,4,,,0
Rosa rubiginosa,8,6,i,3,8,3,,,0
Rosa rugosa,8,6,6,4,7,6,,,3
Rosa sherardii,8,6,4,4,7,3,,,0
Rosa spinosissima,8,7,6,3,8,3,,,0
Rosa stylosa,7,7,2,4,8,4,,,0
Rosa subcanina,7,5,i,4,7,4,,,0
Rosa subcollina,7,5,6,4,7,4,,,0
Rosa tomentosa,8,5,i,4,7,4,,,0
Rosa villosa,7,4,5,3,8,3,,,0
Rosa virginiana,5,5,5,4,5,5,,,0
Rosa zalana,8,7,7,3,4,3,,,0
Rubia tinctorum,7,9,5,4,8,6,,,0
Rubus albiflorus,7,7,4,5,5,5,,,0
Rubus allegheniensis,7,5,4,5,5,5,,,0
Rubus ambrosius,6,5,5,5,5,6,,,0
Rubus amphistrophos,6,5,4,4,5,5,,,0
Rubus angustipaniculatus,7,6,6,5,5,4,,,0
Rubus apricus,5,5,4,5,4,4,,,0
Rubus armeniacus,7,7,4,4,6,5,,,0
Rubus austromoravicus,7,6,5,5,5,5,,,0
Rubus austroslovacus,8,6,6,4,7,4,,,0
Rubus austrotiroliensis,8,7,5,5,5,4,,,0
Rubus balatonicus,6,6,5,5,7,5,,,0
Rubus bavaricus,6,4,4,5,5,5,,,0
Rubus bertramii,7,4,4,6,4,5,,~,0
Rubus bicolor,7,6,5,5,5,4,,,0
Rubus bifrons,6,6,6,4,6,5,,,0
Rubus bregutiensis,6,5,4,5,5,5,,,0
Rubus brunneri,5,5,5,5,4,4,,~,0
Rubus caesius,7,6,i,6,6,6,,~,3
Rubus canadensis,7,5,4,5,4,5,,,0
Rubus canescens,8,7,6,3,7,3,,,0
Rubus clusii,6,5,5,6,5,5,,,0
Rubus constrictus,7,6,5,5,5,5,,,0
Rubus crispomarginatus,7,6,6,5,7,5,,,0
Rubus devitatus,7,7,5,5,5,5,,,0
Rubus doerrii,8,6,5,5,5,5,,,0
Rubus dollnensis,6,5,5,5,5,4,,,0
Rubus elatior,7,6,5,5,5,5,,,0
Rubus epipsilos,6,5,4,5,5,6,,,0
Rubus fasciculatus,7,6,6,4,7,5,,,0
Rubus ferox,7,6,5,5,5,5,,,0
Rubus foliosus,6,6,4,5,3,5,,,0
Rubus franconicus,7,6,5,4,5,5,,,0
Rubus gayeri,6,5,5,5,5,5,,,0
Rubus grabowskii,7,5,5,5,5,5,,,0
Rubus gracilis,7,6,5,4,5,4,,,0
Rubus graecensis,7,6,5,5,4,5,,,0
Rubus guentheri ,7,5,4,5,4,4,,,0
Rubus guttiferus,8,6,6,4,7,4,,,0
Rubus henrici-egonis,7,6,6,5,6,5,,,0
Rubus hirtus s. lat.,6,4,5,6,5,5,,~,0
Rubus holandrei,7,6,6,4,7,5,,,0
Rubus holosericeaus,7,5,5,4,5,4,,,0
Rubus idaeus,7,4,5,6,5,6,,~,0
Rubus juennensis,7,6,6,4,5,5,,,0
Rubus kletensis,7,5,5,5,5,5,,,0
Rubus kuleszae,7,6,6,5,5,5,,,0
Rubus laciniatus,7,6,5,5,4,5,,,0
Rubus liubensis,7,6,6,4,6,5,,,0
Rubus lobifolius,7,6,6,4,6,5,,,0
Rubus macrophyllus,6,6,5,5,5,5,,,0
Rubus macrostemonides,7,6,5,5,5,5,,,0
Rubus mollis,7,6,6,4,7,4,,,0
Rubus montanus,7,6,5,5,5,5,,,0
Rubus muhelicus,7,6,5,5,5,5,,,0
Rubus nessensis,7,4,5,5,4,5,,~,0
Rubus noricus,7,5,5,5,5,5,,,0
Rubus obtusangulus,7,6,6,5,7,5,,,0
Rubus occidentalis,7,6,3,5,5,5,,,0
Rubus odoratus,7,6,3,4,5,6,,,0
Rubus orthostachyoides,7,7,5,5,7,5,,,0
Rubus orthostachys,7,5,5,5,5,4,,,0
Rubus parthenocissus,7,6,6,5,6,5,,,0
Rubus parviflorus,7,7,5,5,5,5,,,0
Rubus passaviensis,7,6,5,5,5,4,,,0
Rubus pedemontanus,4,3,4,5,5,4,,,0
Rubus percrispatus,7,6,5,5,5,5,,,0
Rubus perperus,8,6,6,4,7,4,,,0
Rubus perpungens,7,6,5,5,5,5,,,0
Rubus perrobustus,7,5,6,5,5,5,,,0
Rubus phoenicolasius,6,5,5,5,5,6,,,0
Rubus phyllostachys,7,6,5,5,5,5,,,0
Rubus plicatus,7,4,4,5,4,4,,~,0
Rubus portae-moravicae,7,7,7,4,7,5,,,0
Rubus praecocifrons,7,6,5,5,5,5,,,0
Rubus procerus,8,7,7,4,7,5,,,0
Rubus pruinosus,7,5,4,5,5,5,,,0
Rubus pseudopsis,7,6,5,5,5,5,,,0
Rubus radula,6,6,5,5,4,4,,,0
Rubus rudis,8,6,4,5,6,7,,,0
Rubus salisburgensis,6,5,4,5,6,5,,,0
Rubus salzmanii,7,7,6,5,5,5,,,0
Rubus saxatilis,6,4,5,5,7,3,,,0
Rubus scabrosus,7,6,5,4,5,4,,,0
Rubus scarbantinus,7,6,6,4,6,5,,,0
Rubus schleicheri,6,5,5,5,5,5,,,0
Rubus scissoides,7,4,4,6,4,5,,~,0
Rubus semitomentosus,6,5,5,4,4,4,,,0
Rubus sendtneri,6,5,5,5,5,4,,,0
Rubus silesiacus,7,5,4,5,3,4,,,0
Rubus silvae-norticae,6,5,6,5,5,5,,,0
Rubus solvensis,7,6,6,5,5,5,,,0
Rubus sprengelii,6,5,3,5,3,4,,,0
Rubus stimulifer,7,6,6,5,6,5,,,0
Rubus styriacus,6,5,5,5,4,4,,,0
Rubus suevicola,7,6,5,4,6,4,,,0
Rubus sulcatus,6,4,5,5,5,6,,,0
Rubus sylvulicola,6,5,4,5,6,5,,~,0
Rubus tabanimontanus,6,5,5,5,6,5,,,0
Rubus ulmifolius,8,8,2,5,8,7,,,0
Rubus vatavensis,7,6,6,5,5,5,,,0
Rubus velutinus,7,6,5,5,5,5,,,0
Rubus venosus,6,7,6,5,5,5,,,0
Rubus vestitus,7,6,5,5,5,5,,,0
Rubus villarsianus,7,6,4,5,6,7,,,0
Rubus viridilucidus,7,6,5,4,5,5,,,0
Rubus weizensis,7,5,5,5,5,5,,,0
Rubus widderi,7,6,6,4,6,4,,,0
Rubus wimmerianus,7,5,5,6,5,6,,,0
Rudbeckia fulgida,8,7,6,6,8,6,,,0
Rudbeckia hirta,8,7,6,5,8,6,,,0
Rudbeckia laciniata,7,6,i,8,7,7,,~,0
Rudbeckia triloba,7,7,i,4,7,5,,,0
Rumex acetosa,7,5,i,5,6,6,,,1
Rumex acetosella,8,i,i,3,i,2,,,0
Rumex acetosella subsp. acetosella,8,5,3,3,3,2,,,0
Rumex acetosella subsp. acetoselloides,8,7,7,2,2,2,,,0
Rumex acetosella subsp. pyrenaicus,8,5,5,2,2,2,,,0
Rumex alpinus,8,3,4,6,6,8,,,0
Rumex aquaticus,7,5,7,8,7,8,,=,0
Rumex arifolius,7,3,6,6,6,7,,,0
Rumex bucephalophorus,8,8,4,3,3,4,,,4
Rumex confertus,8,6,5,6,6,7,,,1
Rumex conglomeratus,7,6,4,7,7,8,,~,1
Rumex crispus,8,6,i,6,6,7,,~,1
Rumex cristatus,7,8,5,4,6,7,,,0
Rumex hydrolapathum,8,7,i,10,7,7,,,1
Rumex kerneri,7,8,7,5,6,6,,~,0
Rumex longifolius,8,6,6,5,6,8,,,0
Rumex maritimus,8,7,7,9,7,8,,=,2
Rumex nivalis,9,1,6,7,8,3,,,0
Rumex obtusifolius,7,i,i,6,6,8,,~,1
Rumex obtusifolius subsp. obtusifolius,7,i,3,6,6,8,,~,1
Rumex obtusifolius subsp. subalpinus,6,5,6,5,7,7,,,0
Rumex obtusifolius subsp. sylvestris,7,6,6,5,7,7,,,0
Rumex obtusifolius subsp. transiens,7,6,5,6,8,8,,,0
Rumex palustris,8,7,4,9,7,8,,=,1
Rumex patientia,8,7,7,5,6,8,,,1
Rumex pseudonatronatus,8,7,8,6,7,4,,=,6
Rumex pulcher,8,7,i,5,6,7,,~,3
Rumex pulcher subsp. divaricatus,8,8,3,4,6,8,,~,1
Rumex pulcher subsp. pulcher,8,7,i,5,6,7,,~,3
Rumex sanguineus,i,6,4,6,7,7,,~,0
Rumex scutatus,8,4,4,4,7,3,,~,0
Rumex stenophyllus,8,7,8,7,8,7,,=,3
Rumex thyrsiflorus,8,7,7,4,7,5,,~,2
Rumex triangulivalvis,8,6,6,7,7,7,,,0
Ruscus aculeatus,4,9,3,4,7,4,,,0
Ruscus hypoglossum,3,7,5,5,5,5,,,0
Ruta graveolens,9,8,5,3,7,4,,,0
Sabulina austriaca,9,2,6,3,9,2,,,0
Sabulina gerardii,9,2,6,4,7,2,,,0
Sabulina glaucina,9,8,7,2,7,1,,,0
Sabulina tenuifolia,9,7,6,3,8,3,,,0
Sabulina viscosa,9,7,7,2,4,2,,,0
Sagina apetala,8,7,i,5,6,5,,~,1
Sagina apetala subsp. apetala,8,7,i,5,6,5,,~,1
Sagina apetala subsp. erecta,8,7,3,5,6,5,,~,1
Sagina nodosa,8,4,i,8,8,4,,~,2
Sagina procumbens,7,5,i,5,6,4,,~,2
Sagina revelierei,8,6,4,6,4,3,,~,0
Sagina saginoides,7,3,i,6,6,4,,~,0
Sagittaria latifolia,7,6,i,10,7,6,,,0
Sagittaria sagittifolia,7,6,7,10,7,6,,,0
Salicornia perennans,9,8,8,9,8,7,,=,9
Salix alba,6,6,6,8,7,7,,=,0
Salix alpina,8,2,6,6,8,4,,,0
Salix appendiculata,7,3,6,6,7,5,,,0
Salix aurita,7,5,i,8,4,3,,~,0
Salix babylonica,7,8,3,6,6,6,,~,0
Salix bicolor,8,3,3,8,4,3,,=,0
Salix breviserrata,8,2,6,6,7,3,,,0
Salix caesia,8,3,5,7,4,3,,,0
Salix caprea,7,5,i,5,6,5,,,0
Salix cinerea,7,6,i,9,5,4,,~,1
Salix daphnoides,7,4,5,7,7,4,,~,0
Salix eleagnos,8,5,3,i,8,4,,~,0
Salix foetida,8,3,6,7,4,3,,~,0
Salix fragilis,6,6,i,8,6,7,,=,0
Salix glabra,7,3,5,6,8,4,,,0
Salix glaucosericea,8,3,6,6,3,3,,,0
Salix hastata,7,3,6,7,6,4,,~,0
Salix hegetschweileri,7,3,5,7,5,3,,~,0
Salix helvetica,8,3,3,6,3,3,,,0
Salix herbacea,9,1,i,7,3,3,,,0
Salix laggeri,7,3,5,6,3,3,,,0
Salix mielichhoferi,7,4,6,7,6,4,,=,0
Salix myrsinifolia,7,5,5,7,6,4,,=,0
Salix myrtilloides,7,4,7,9,3,2,,,0
Salix pentandra,7,4,6,8,5,4,,~,0
Salix purpurea,8,5,5,7,i,5,,=,0
Salix purpurea subsp. angustior,8,3,5,7,i,5,,=,0
Salix purpurea subsp. purpurea,8,5,4,7,i,5,,=,0
Salix repens,8,5,i,7,i,3,,~,1
Salix repens subsp. repens,8,5,3,7,5,2,,~,0
Salix repens subsp. rosmarinifolia,8,5,8,7,7,3,,~,1
Salix reticulata,8,2,6,6,8,3,,,0
Salix retusa,8,2,5,5,8,4,,,0
Salix serpillifolia,9,1,4,4,8,2,,,0
Salix triandra,7,5,i,8,7,6,,=,0
Salix triandra subsp. amygdalina,7,6,7,8,7,6,,=,0
Salix triandra subsp. triandra,7,5,3,8,7,6,,=,0
Salix viminalis,7,6,6,8,7,6,,=,0
Salix waldsteiniana,7,3,4,6,8,4,,~,0
Salix x rubens,6,6,i,8,6,6,,=,0
Salsola tragus,9,7,8,2,7,6,,,3
Salvia aethiopis,9,8,9,3,7,4,,,0
Salvia austriaca,9,8,8,2,8,4,,,0
Salvia farinacea,9,7,5,4,7,6,,,0
Salvia glutinosa,4,5,5,6,7,7,,,0
Salvia nemorosa,8,7,8,3,8,4,,,0
Salvia officinalis,8,8,5,3,8,3,,,0
Salvia pratensis,7,6,5,3,8,4,,,0
Salvia reflexa,8,4,4,4,7,4,,,0
Salvia sclarea,8,8,6,3,7,5,,,0
Salvia verticillata,8,6,5,4,7,5,,,0
Salvia viridis,8,8,4,3,8,5,,,1
Salvinia natans,7,8,5,11,7,7,,,0
Sambucus ebulus,7,6,5,5,7,7,,,0
Sambucus nigra,7,5,i,6,7,8,,,0
Sambucus racemosa,6,4,5,5,5,7,,,0
Samolus valerandi,8,6,6,8,7,5,,=,6
Sanguisorba dodecandra,7,5,4,7,5,7,,,0
Sanguisorba minor,7,6,i,3,8,3,,,0
Sanguisorba minor subsp. balearica,8,7,i,2,8,2,,,0
Sanguisorba minor subsp. minor,7,6,i,3,8,3,,,0
Sanguisorba officinalis,7,6,6,6,7,5,,~,1
Sanicula epipactis,4,6,5,4,8,3,,,0
Sanicula europaea,4,5,i,5,7,6,,~,0
Sanvitalia procumbens,8,9,3,4,5,5,,,0
Saponaria ocymoides,7,4,5,3,6,2,,~,0
Saponaria officinalis,7,6,i,5,7,6,,,0
Saponaria pumila,9,2,5,3,2,2,,,0
Satureja hortensis,8,7,6,3,5,5,,,0
Satureja montana,8,6,6,2,7,3,,,0
Saussurea alpina subsp. alpina,9,2,i,5,5,3,,,0
Saussurea discolor,9,2,6,5,8,2,,,0
Saussurea pygmaea,9,2,5,4,8,2,,,0
Saxifraga adscendens,9,2,5,5,7,4,,,0
Saxifraga aizoides,8,3,i,8,7,3,,=,0
Saxifraga androsacea,7,2,5,7,7,3,,,0
Saxifraga aphylla,9,1,6,5,9,3,,,0
Saxifraga aspera,8,3,6,4,3,2,,,0
Saxifraga biflora,9,1,3,6,7,3,,,0
Saxifraga blepharophylla,9,1,6,5,7,2,,,0
Saxifraga bryoides,9,1,5,4,3,2,,,0
Saxifraga bulbifera,8,7,5,3,6,3,,,0
Saxifraga burseriana,9,3,5,3,9,1,,,0
Saxifraga caesia,9,2,5,3,9,1,,,0
Saxifraga carpatica,9,2,5,6,4,3,,,0
Saxifraga cernua,6,2,7,6,7,5,,,0
Saxifraga cotyledon,8,4,4,5,3,2,,,0
Saxifraga crustata,9,3,4,2,9,1,,,0
Saxifraga cuneifolia subsp. robusta,4,4,4,4,7,2,,~,0
Saxifraga exarata,9,1,6,4,b,2,,,0
Saxifraga exarata subsp. carniolica,7,2,4,3,9,3,,,0
Saxifraga exarata subsp. exarata,9,1,6,4,2,2,,,0
Saxifraga granulata,7,6,4,4,5,4,,,0
Saxifraga hirculus,8,5,6,9,4,3,,=,0
Saxifraga hirsuta,4,6,4,6,5,4,,,0
Saxifraga hohenwartii,8,2,4,5,9,2,,,0
Saxifraga hostii subsp. hostii,8,3,5,3,8,2,,,0
Saxifraga moschata,8,2,5,4,7,2,,,0
Saxifraga moschata subsp. moschata,8,2,5,5,7,2,,,0
Saxifraga moschata subsp. pseudoexarata,8,2,5,5,8,2,,,0
Saxifraga muscoides,9,1,7,5,6,2,,,0
Saxifraga mutata,7,4,6,7,8,2,,~,0
Saxifraga oppositifolia subsp. oppositifolia,9,2,3,5,8,2,,,0
Saxifraga paniculata,8,3,i,3,8,2,,,0
Saxifraga paradoxa,3,5,4,5,5,3,,~,0
Saxifraga petraea,5,6,4,2,9,3,,,0
Saxifraga retusa,9,1,6,3,2,1,,,0
Saxifraga rotundifolia,5,4,4,6,7,6,,,0
Saxifraga rudolphiana,9,1,3,5,7,2,,,0
Saxifraga sedoides,9,2,4,6,8,2,,,0
Saxifraga seguieri,9,1,3,6,3,2,,,0
Saxifraga squarrosa,9,2,6,3,9,1,,,0
Saxifraga stolonifera,5,8,2,5,5,5,,,0
Saxifraga styriaca,7,1,5,5,6,3,,,0
Saxifraga tenella,7,3,3,6,9,1,,,0
Saxifraga tridactylites,9,6,2,2,7,2,,,0
Saxifraga x geum,4,6,4,6,4,5,,,0
Saxifraga x macropetala,9,1,4,6,8,3,,,0
Saxifraga x urbium,5,6,3,7,3,5,,,0
Scabiosa canescens,8,7,6,2,8,3,,,0
Scabiosa columbaria,8,5,5,3,8,3,,,0
Scabiosa lucida,8,3,5,4,8,3,,,0
Scabiosa lucida subsp. lucida,8,3,5,4,8,3,,,0
Scabiosa lucida subsp. stricta,8,4,5,4,8,3,,,0
Scabiosa ochroleuca,8,6,8,3,8,3,,,0
Scabiosa triandra,8,6,5,2,8,2,,,0
Scandix pecten-veneris subsp. pecten-veneris,8,7,i,3,8,4,,,0
Scheuchzeria palustris,9,4,6,9,1,1,,=,0
Schlagintweitia huteri,7,3,4,4,3,3,,,0
Schlagintweitia intybaceum,8,3,4,4,3,2,,,0
Schoenoplectiella mucronatus,8,7,i,10,7,8,,,2
Schoenoplectiella pungens,8,8,i,10,7,7,,~,2
Schoenoplectus lacustris,8,6,i,11,7,6,,,2
Schoenoplectus litoralis,8,8,2,10,8,7,,,2
Schoenoplectus supinus,8,7,7,8,6,3,,=,1
Schoenoplectus tabernaemontani,8,7,7,10,8,6,,,5
Schoenoplectus triqueter,8,7,i,10,7,7,,,2
Schoenus ferrugineus,9,4,5,8,8,2,,~,1
Schoenus nigricans,9,6,i,9,9,2,,~,1
Scilla bifolia,5,6,6,6,7,6,,,0
Scilla bifolia subsp. bifolia,5,6,6,6,7,6,,,0
Scilla bifolia subsp. bifolia var. bifolia,5,6,6,6,7,6,,,0
Scilla bifolia subsp. bifolia var.drunensis,5,6,5,6,7,6,,,0
Scilla bifolia subsp. spetana,5,7,6,6,7,6,,,0
Scilla luciliae,5,7,5,4,7,5,,,0
Scilla sardensis,5,7,5,3,7,5,,,0
Scilla siehei,5,7,5,5,7,5,,,0
Scilla tmoli,5,7,5,5,7,5,,,0
Scilla vindobonensis,5,6,6,6,8,6,,~,0
Scirpoides holoschoenus,8,7,i,8,7,6,,~,4
Scirpus atrovirens,8,6,3,7,5,7,,,0
Scirpus georgianus,8,6,4,8,5,5,,~,0
Scirpus radicans,7,6,7,9,7,6,,=,0
Scirpus sylvaticus,6,5,i,8,i,5,,=,0
Scleranthus annuus,7,5,i,5,4,4,,,2
Scleranthus perennis,8,6,5,2,4,1,,,0
Scleranthus polycarpos,9,5,5,2,3,2,,,0
Scleranthus verticillatus,9,8,7,2,6,2,,,1
Sclerochloa dura,8,7,7,4,8,5,,~,1
Scolymus hispanicus,9,8,4,2,6,7,,,1
Scopolia carniolica,3,6,7,7,7,8,,,0
Scorzonera aristata,9,3,5,3,7,3,,,0
Scorzonera austriaca,7,7,7,2,9,2,,~,0
Scorzonera cana,8,7,7,4,8,4,,~,3
Scorzonera hispanica,7,7,8,4,8,3,,~,0
Scorzonera humilis,7,5,5,7,i,3,,~,0
Scorzonera laciniata,8,8,6,3,8,3,,~,1
Scorzonera parviflora,8,8,8,7,8,3,,,5
Scorzonera purpurea,8,7,8,3,8,3,,~,0
Scorzonera rosea,7,4,6,5,8,5,,,0
Scorzoneroides autumnalis,7,5,i,5,5,5,,~,1
Scorzoneroides crocea,7,3,5,6,5,5,,,0
Scorzoneroides helvetica,8,2,4,5,3,2,,,0
Scorzoneroides montana,9,1,5,5,8,3,,,0
Scorzoneroides montana subsp. melanotricha,9,1,5,5,8,3,,,0
Scorzoneroides montana subsp. montana,9,1,4,5,8,3,,,0
Scorzoneroides montaniformis,8,2,4,4,9,1,,,0
Scrophularia canina,8,6,4,3,8,3,,,0
Scrophularia juratensis,9,4,4,3,8,2,,=,0
Scrophularia neesii,7,7,6,9,7,7,,=,1
Scrophularia nodosa,4,5,i,6,6,7,,,0
Scrophularia scopolii,4,5,5,6,7,7,,,0
Scrophularia umbrosa,7,6,6,9,7,7,,=,1
Scrophularia umbrosa agg.,7,6,6,9,7,7,,=,1
Scrophularia vernalis,5,6,4,5,7,6,,,0
Scutellaria altissima,6,7,7,5,7,6,,,0
Scutellaria galericulata,7,6,i,9,7,6,,=,1
Scutellaria hastifolia,7,7,8,8,7,5,,=,2
Scutellaria minor,7,6,2,8,2,3,,,0
Secale cereale,8,5,8,5,6,5,,,0
Securigera varia,7,6,5,4,8,4,,~,0
Sedum acre,8,6,i,2,6,2,,,1
Sedum album,9,5,i,2,7,1,,,1
Sedum alpestre,9,2,3,5,4,2,,,0
Sedum annuum,9,3,5,2,4,2,,,0
Sedum atratum,9,2,4,5,8,2,,,0
Sedum dasyphyllum,8,4,5,2,6,1,,,0
Sedum hispanicum,9,6,4,3,7,3,,,0
Sedum pallidum,8,6,6,3,7,4,,,5
Sedum sarmentosum,8,7,3,3,5,5,,,0
Sedum sexangulare,8,5,5,2,7,2,,,0
Sedum urvillei,9,7,6,1,9,1,,,0
Sedum villosum,9,5,6,9,3,1,,~,0
Selaginella helvetica,6,i,5,5,8,2,,~,0
Selaginella selaginoides,8,2,i,6,7,3,,,0
Selinum carvifolia,7,5,5,7,6,4,,~,0
Selinum dubium,7,7,7,7,6,5,,=,1
Sempervivum arachnoideum,9,i,4,1,i,1,,,0
Sempervivum arachnoideum subsp. arachnoideum,9,i,4,1,6,1,,,0
Sempervivum arachnoideum subsp. tomentosum,9,6,4,1,2,1,,,0
Sempervivum braunii,9,2,6,3,3,1,,,0
Sempervivum marmoreum,9,7,5,1,6,1,,,0
Sempervivum montanum,9,2,4,3,2,1,,,0
Sempervivum pittonii,9,6,6,1,7,1,,,0
Sempervivum tectorum,9,5,4,2,6,2,,,0
Sempervivum wulfenii,9,3,6,3,4,1,,,0
Senecio abrotanifolius,7,3,5,4,6,3,,,0
Senecio abrotanifolius var. abrotanifolius,7,3,5,4,7,3,,,0
Senecio abrotanifolius var. tirolensis,8,2,5,4,4,3,,,0
Senecio alpinus,7,3,5,6,8,8,,~,0
Senecio aquaticus,7,6,4,8,5,5,,~,0
Senecio carniolicus,9,2,5,4,1,1,,,0
Senecio cineraria,9,8,2,2,7,1,,,1
Senecio disjunctus,9,2,5,3,6,2,,,0
Senecio doria,7,7,6,7,7,5,,,3
Senecio doronicum,8,2,3,4,8,3,,,0
Senecio erraticus subsp. barbareifolius,7,7,3,6,6,5,,~,2
Senecio erucifolius,8,6,i,5,8,4,,~,1
Senecio erucifolius subsp. erucifolius,8,6,3,5,8,4,,~,0
Senecio erucifolius subsp. tenuifolius,8,8,7,4,8,4,,~,1
Senecio fontanicola,7,6,6,7,9,3,,,0
Senecio inaequidens,9,7,i,3,6,4,,,1
Senecio insubricus,9,2,5,2,3,1,,,0
Senecio jacobaea,8,6,i,4,7,5,,~,1
Senecio jacobaea subsp. jacobaea,8,6,i,4,7,5,,,1
Senecio jacobaea subsp. pannonicus,8,7,6,4,7,4,,,0
Senecio nemorensis,6,i,i,5,6,7,,~,0
Senecio nemorensis subsp. cacaliaster,6,3,5,6,5,7,,,0
Senecio nemorensis subsp. fuchsii,6,5,5,5,6,7,,,0
Senecio nemorensis subsp. glabratus,6,5,6,5,6,7,,,0
Senecio nemorensis subsp. hercynicus,6,3,4,6,5,7,,,0
Senecio nemorensis subsp. jacquinianus,6,6,6,4,7,7,,,0
Senecio noricus,9,2,5,3,1,1,,,0
Senecio paludosus,7,6,6,9,6,6,,=,0
Senecio paludosus subsp. angustifolius,7,6,6,9,6,6,,=,0
Senecio paludosus subsp. paludosus,7,5,6,9,6,6,,=,0
Senecio sarracenicus,7,7,6,8,7,7,,=,0
Senecio squalidus subsp. rupestris,8,4,6,5,7,7,,,0
Senecio subalpinus,6,3,5,6,7,8,,~,0
Senecio sylvaticus,7,6,4,5,5,7,,,0
Senecio umbrosus,8,7,6,4,7,5,,~,0
Senecio vernalis,9,6,6,3,7,6,,,1
Senecio viscosus,8,5,5,4,6,6,,,0
Senecio vulgaris,8,5,i,5,6,8,,,1
Serratua tinctoria,6,i,6,5,7,3,,~,1
Serratula tinctoria subsp. macrocephala,7,3,7,6,7,3,,,0
Serratula tinctoria subsp. tinctoria,6,6,5,5,7,3,,~,1
Seseli annuum,8,7,5,3,7,2,,,0
Seseli austriacum,8,6,6,1,9,1,,,0
Seseli campestre,8,7,5,4,6,3,,,5
Seseli hippomarathrum,9,7,8,1,9,1,,,0
Seseli libanotis,7,i,i,3,7,3,,,0
Seseli libanotis subsp. intermedium,7,4,6,2,7,3,,,0
Seseli libanotis subsp. libanotis,7,i,4,3,7,3,,,0
Seseli osseum,8,8,7,1,7,1,,,0
Seseli pallasii,8,8,7,2,7,2,,,0
Sesleria caerulea,i,i,3,i,9,3,,,0
Sesleria sadleriana,9,7,6,3,9,2,,,0
Sesleria uliginosa,8,6,6,8,8,3,,~,1
Sesleriella sphaerocephala,9,2,4,3,9,2,,,0
Setaria faberi,8,7,7,4,6,7,,,1
Setaria italica,8,7,i,4,7,8,,,1
Setaria parviflora,8,7,5,5,6,8,,,0
Setaria pumila,8,6,6,4,i,6,,,1
Setaria verticillata,8,7,6,4,7,7,,,1
